Team,MaleCount,FemaleCount,TotalCount
Magda IX,10.0,0.0,10.0
Magdalen College Boat Club-1,4.0,0.0,4.0
Maid of Lebanon,2.0,0.0,2.0
Mainz,1.0,0.0,1.0
Malawi,73.0,14.0,87.0
Malaya,44.0,1.0,45.0
Malaysia,409.0,101.0,510.0
Malaysia-1,10.0,0.0,10.0
Malaysia-2,10.0,0.0,10.0
Maldives,37.0,12.0,49.0
Mali,63.0,29.0,92.0
Malta,85.0,29.0,114.0
Mamie-4,2.0,0.0,2.0
Mamie-6,4.0,0.0,4.0
Manana,2.0,0.0,2.0
Marga-2,6.0,0.0,6.0
Margaret,2.0,0.0,2.0
Mari,2.0,0.0,2.0
Marie-Tim,2.0,0.0,2.0
"Marinai della nave da guerra ""Varese""",24.0,0.0,24.0
Marmara,2.0,0.0,2.0
Marmi II-1,3.0,0.0,3.0
Marshall Islands,7.0,7.0,14.0
Marsouin-26,1.0,0.0,1.0
Marsouin-8,1.0,0.0,1.0
Martha-1,8.0,0.0,8.0
Martha-27,4.0,0.0,4.0
Maryke,2.0,0.0,2.0
Mascaret-28,1.0,0.0,1.0
Mascaret-4,2.0,0.0,2.0
Mascotte,9.0,0.0,9.0
Matrero II,6.0,0.0,6.0
Mauritania,24.0,5.0,29.0
Mauritius,91.0,49.0,140.0
Mauritius-1,1.0,1.0,2.0
Mauritius-2,1.0,1.0,2.0
May Be,4.0,1.0,5.0
May Be VII,5.0,0.0,5.0
May-Be 1960,2.0,0.0,2.0
Mebi,3.0,0.0,3.0
Merope,4.0,0.0,4.0
Merope III,4.0,0.0,4.0
Meteor,2.0,0.0,2.0
Mexico,2154.0,641.0,2795.0
Mignon-29,1.0,0.0,1.0
Mignon-3,2.0,0.0,2.0
Milwaukee Athletic Club-1,5.0,0.0,5.0
"Milwaukee Turnverein, Milwaukee",6.0,0.0,6.0
Minerva Amsterdam,17.0,0.0,17.0
Minotaur,3.0,0.0,3.0
Mirtala,3.0,0.0,3.0
Miss Denmark 1964,2.0,0.0,2.0
Miss Nippon IV,3.0,0.0,3.0
Miss Nippon V,3.0,0.0,3.0
Missouri Athletic Club-3,11.0,0.0,11.0
MitaII,2.0,0.0,2.0
Mizar,2.0,0.0,2.0
Mohawk Indians-2,12.0,0.0,12.0
Moldova,149.0,42.0,191.0
Monaco,124.0,7.0,131.0
Mongolia,317.0,136.0,453.0
Monica,3.0,0.0,3.0
Montenegro,54.0,35.0,89.0
Moorina,2.0,0.0,2.0
Morena,5.0,0.0,5.0
Morocco,547.0,85.0,632.0
Moseley Wanderers,15.0,0.0,15.0
Mosk II,7.0,0.0,7.0
Mouchette-2,10.0,0.0,10.0
Mound City Rowing Club-2,4.0,0.0,4.0
Mozambique,55.0,23.0,78.0
Mutafo,3.0,0.0,3.0
Myanmar,83.0,24.0,107.0
Myojo,2.0,0.0,2.0
Mystery,5.0,0.0,5.0
Nadine,1.0,0.0,1.0
Naiad,2.0,0.0,2.0
Namibia,49.0,28.0,77.0
Namoussa,5.0,0.0,5.0
Nan-2,1.0,0.0,1.0
Nauru,11.0,2.0,13.0
Nausikaa 4,2.0,0.0,2.0
Nautikos Omilos-3,5.0,0.0,5.0
Nepal,64.0,24.0,88.0
Nephos I,4.0,0.0,4.0
Neptun II,3.0,0.0,3.0
Netherlands,3423.0,1628.0,5051.0
Netherlands Antilles,62.0,12.0,74.0
Netherlands-1,4.0,6.0,10.0
Netherlands-2,4.0,6.0,10.0
"New College, Oxford-2",9.0,0.0,9.0
New York Athletic Club,5.0,0.0,5.0
New York Athletic Club #1-1,4.0,0.0,4.0
New York Athletic Club #2-4,4.0,0.0,4.0
New York Athletic Club-1,7.0,0.0,7.0
New York Athletic Club-4,5.0,0.0,5.0
"New York Turnverein, New York",6.0,0.0,6.0
New Zealand,1410.0,722.0,2132.0
Newfoundland,1.0,0.0,1.0
Nicaragua,107.0,22.0,129.0
Niger,37.0,10.0,47.0
Nigeria,561.0,301.0,862.0
Nigeria-1,6.0,4.0,10.0
Nigeria-2,6.0,4.0,10.0
Nikh,2.0,0.0,2.0
Nina,7.0,0.0,7.0
Nina Claire-2,8.0,0.0,8.0
Nina Claire-30,4.0,0.0,4.0
Nirefs,3.0,0.0,3.0
Nirwana,5.0,0.0,5.0
Nokaut II,2.0,0.0,2.0
Nora,2.0,0.0,2.0
Noreg,4.0,0.0,4.0
Norman-1,5.0,0.0,5.0
Norna,4.0,0.0,4.0
Nortazo,2.0,0.0,2.0
North Borneo,2.0,0.0,2.0
North Korea,361.0,309.0,670.0
North Korea-1,2.0,4.0,6.0
North Korea-2,2.0,4.0,6.0
North Yemen,11.0,0.0,11.0
Norway,1891.0,489.0,2380.0
Norway-1,6.0,4.0,10.0
Norway-2,7.0,5.0,12.0
Norway-3,2.0,0.0,2.0
Norwegian Rowing Association,9.0,0.0,9.0
"Norwegier Turnverein, Brooklyn",6.0,0.0,6.0
Notavel,1.0,0.0,1.0
Nrnberg,1.0,0.0,1.0
Nurdug II,3.0,0.0,3.0
Nykjbings paa Falster,5.0,0.0,5.0
Oleander II,3.0,0.0,3.0
Oleander XII,3.0,0.0,3.0
Olen,3.0,0.0,3.0
Olimpia,2.0,0.0,2.0
Olle,9.0,0.0,9.0
Olympion,2.0,0.0,2.0
Oman,62.0,4.0,66.0
Omas Helliniki P. S.,8.0,0.0,8.0
Omilos Ereton Peiraios-2,3.0,0.0,3.0
Omilos Ereton Smyrnis,5.0,0.0,5.0
Oranje,3.0,0.0,3.0
Ormsund Roklub-2,5.0,0.0,5.0
"Osborne Swimming Club, Manchester",7.0,0.0,7.0
Oxalis,1.0,0.0,1.0
Paka,2.0,0.0,2.0
Paka V,2.0,0.0,2.0
Pakaria,2.0,0.0,2.0
Pakistan,549.0,11.0,560.0
Palau,12.0,13.0,25.0
Palestine,13.0,8.0,21.0
Pam,3.0,0.0,3.0
Pampero,9.0,0.0,9.0
Pan,11.0,0.0,11.0
Pan II,3.0,0.0,3.0
Pan-Hellenic Athletic Club,5.0,0.0,5.0
Panama,100.0,39.0,139.0
Pandora,2.0,0.0,2.0
Panhellenios Gymnastikos Syllogos-1,11.0,0.0,11.0
Pannonia RC/National RC,9.0,0.0,9.0
Papua New Guinea,82.0,26.0,108.0
Paraguay,112.0,22.0,134.0
Partenope,3.0,0.0,3.0
Pasodoble,2.0,0.0,2.0
"Passaic Turnverein, Passaic",6.0,0.0,6.0
Patricia,3.0,0.0,3.0
Paula,3.0,0.0,3.0
Pegaso,2.0,0.0,2.0
Peiraikos Syndesmos-2,8.0,0.0,8.0
Peri,2.0,0.0,2.0
Peri II,2.0,0.0,2.0
Persey,3.0,0.0,3.0
Peru,364.0,158.0,522.0
Pettit-Poucet-6,1.0,0.0,1.0
"Phalainis ton Thorichtou ""Hydra""-2",24.0,0.0,24.0
"Phalainis ton Thorichtou ""Psara""-3",7.0,0.0,7.0
"Philadelphia Turngemeinde, Philadelphia",6.0,0.0,6.0
Philippines,576.0,104.0,680.0
Phoenix,3.0,0.0,3.0
Pierre et Jean-3,1.0,0.0,1.0
Pierre et Jean-4,2.0,0.0,2.0
Pigoule,2.0,0.0,2.0
Pimm,2.0,0.0,2.0
Pirouette-31,1.0,0.0,1.0
Pirouette-5,2.0,0.0,2.0
Pistoja/Firenze,9.0,0.0,9.0
Plume-Patte-5,2.0,0.0,2.0
Plume-patte-32,1.0,0.0,1.0
Poland,3522.0,1308.0,4830.0
Poland-1,8.0,6.0,14.0
Poland-2,8.0,6.0,14.0
Poland-3,2.0,0.0,2.0
Polyteknisk Roklub-1,5.0,0.0,5.0
Portugal,1178.0,277.0,1455.0
Posillipo III,3.0,0.0,3.0
Potomac Archers,4.0,0.0,4.0
Potsdam,1.0,0.0,1.0
Pousse-Moi Pas VII,2.0,0.0,2.0
Primorka,2.0,0.0,2.0
Proteus II,3.0,0.0,3.0
Puerto Rico,725.0,165.0,890.0
Pupilles de Neptune de Lille #1-3,7.0,0.0,7.0
Pupilles de Neptune de Lille #2-1,8.0,0.0,8.0
Pupilles de Neptune de Lille-1,4.0,0.0,4.0
Qatar,185.0,7.0,192.0
Qu'Importe,5.0,0.0,5.0
Quand-Mme-2,9.0,0.0,9.0
Quand-Mme-33,4.0,0.0,4.0
Quicksilver-2,1.0,1.0,2.0
"R.-V. Germania, Leitmeritz",5.0,0.0,5.0
Racing Club de France,11.0,0.0,11.0
Raili,6.0,0.0,6.0
Ral-Club Barcelona,5.0,0.0,5.0
Ralia,5.0,0.0,5.0
Rampage,2.0,0.0,2.0
Ravel,1.0,0.0,1.0
Ravenswood Boat Club-2,2.0,0.0,2.0
Red Dragon,3.0,0.0,3.0
Red Indian,2.0,0.0,2.0
Refugee Olympic Athletes,7.0,5.0,12.0
Rhodesia,9.0,1.0,10.0
Rhythm,3.0,0.0,3.0
Riccar,2.0,0.0,2.0
Rififi,3.0,0.0,3.0
Roddklubben af 1912-1,5.0,0.0,5.0
Roddklubben af 1912-2,9.0,0.0,9.0
Roehampton-1,4.0,0.0,4.0
Roklubb Kbnhavn-2,5.0,0.0,5.0
Roma,9.0,0.0,9.0
Romania,2301.0,1422.0,3723.0
Romolo,2.0,0.0,2.0
Rose Pompon,3.0,0.0,3.0
Rostock,1.0,0.0,1.0
Rowing Club Castillon-3,3.0,0.0,3.0
Roy,3.0,0.0,3.0
Royal Club Nautique de Gand,31.0,0.0,31.0
Rozenn-3,1.0,0.0,1.0
Rush IV,4.0,0.0,4.0
Rush V,3.0,0.0,3.0
Rush VII,3.0,0.0,3.0
Russia,2013.0,1515.0,3528.0
Russia-1,8.0,12.0,20.0
Russia-2,6.0,12.0,18.0
Rwanda,36.0,20.0,56.0
Saar,86.0,7.0,93.0
Sabre,3.0,0.0,3.0
Saga-2,5.0,0.0,5.0
SagaII,3.0,0.0,3.0
Saint Kitts and Nevis,25.0,17.0,42.0
Saint Lucia,15.0,13.0,28.0
Saint Vincent and the Grenadines,31.0,11.0,42.0
Salamander,3.0,0.0,3.0
Samoa,51.0,12.0,63.0
San Marino,128.0,16.0,144.0
Sandra,3.0,0.0,3.0
Sans Atout-1,5.0,0.0,5.0
Santa Maria,6.0,0.0,6.0
Sao Tome and Principe,9.0,6.0,15.0
Sarcelle-3,6.0,0.0,6.0
Sarcelle-35,3.0,0.0,3.0
Saskia,5.0,1.0,6.0
Sass-2,3.0,0.0,3.0
Saudi Arabia,225.0,5.0,230.0
Scamasaxe-2,2.0,0.0,2.0
Scamasaxe-3,2.0,0.0,2.0
Scamasaxe-34,2.0,0.0,2.0
Scaup,2.0,0.0,2.0
Scotia,9.0,0.0,9.0
Scotland,8.0,0.0,8.0
Scotland-2,8.0,0.0,8.0
Scotland-3,11.0,0.0,11.0
Scram,2.0,0.0,2.0
Sea Dog-2,2.0,0.0,2.0
Seawanhaka Boat Club-1,2.0,0.0,2.0
Senegal,298.0,77.0,375.0
Serbia,230.0,126.0,356.0
Serbia and Montenegro,251.0,49.0,300.0
Serbia-1,2.0,0.0,2.0
Serbia-2,2.0,0.0,2.0
Serendipity,3.0,0.0,3.0
Seychelles,88.0,23.0,111.0
Sheerio,6.0,0.0,6.0
Shoveller,3.0,0.0,3.0
Shrew II,2.0,0.0,2.0
Siames-Cat,2.0,0.0,2.0
Sibindi-2,3.0,0.0,3.0
Sidi Fekkar-36,4.0,0.0,4.0
Sidi-Fekkar-14,8.0,0.0,8.0
Sierra Leone,87.0,27.0,114.0
Sif,4.0,0.0,4.0
Sildra-1,4.0,0.0,4.0
Silja,6.0,0.0,6.0
Singy-37,2.0,0.0,2.0
Singy-7,2.0,0.0,2.0
Sirene,2.0,0.0,2.0
Sjhxa,3.0,0.0,3.0
Sjovinge,2.0,0.0,2.0
Skidoo,2.0,1.0,3.0
Skum,2.0,0.0,2.0
Slaghoken,3.0,0.0,3.0
Slaghoken II,3.0,0.0,3.0
Slovakia,334.0,167.0,501.0
Slovakia-1,2.0,2.0,4.0
Slovakia-2,2.0,2.0,4.0
Slovenia,321.0,182.0,503.0
Smyrna,11.0,0.0,11.0
Snap,3.0,0.0,3.0
Snowten III,3.0,0.0,3.0
Snude,3.0,0.0,3.0
"Socialer Turnverein, Detroit",6.0,0.0,6.0
Societ Nautique de la Marne,8.0,0.0,8.0
Societ Nautique de la Marne-1,2.0,0.0,2.0
Societ Nautique de la Marne-3,4.0,0.0,4.0
Socit Nautique de Bayonne,19.0,0.0,19.0
Socit Nautique de Bayonne-1,3.0,0.0,3.0
Socit Nautique de Bayonne-2,8.0,0.0,8.0
Socit Nautique de la Basse Seine-1,8.0,0.0,8.0
Socit Nautique de la Basse Seine-2,3.0,0.0,3.0
Solomon Islands,18.0,9.0,27.0
Somalia,27.0,5.0,32.0
Sonja II,3.0,0.0,3.0
Sorais-2,5.0,0.0,5.0
Souriceau-38,1.0,0.0,1.0
Souriceau-4,2.0,0.0,2.0
South Africa,1237.0,428.0,1665.0
South Africa-1,2.0,0.0,2.0
South Africa-2,2.0,0.0,2.0
South Korea,2397.0,1187.0,3584.0
South Korea-1,28.0,26.0,54.0
South Korea-2,28.0,26.0,54.0
"South St Louis Turnverein, St Louis",6.0,0.0,6.0
South Sudan,2.0,1.0,3.0
South Vietnam,60.0,2.0,62.0
South Yemen,5.0,0.0,5.0
Souvenance,1.0,0.0,1.0
Soviet Union,3303.0,1281.0,4584.0
Spain,3510.0,1320.0,4830.0
Spain-1,17.0,10.0,27.0
Spain-2,15.0,9.0,24.0
Spirit III,4.0,0.0,4.0
Spirit VI,3.0,0.0,3.0
Springbok,2.0,0.0,2.0
Squid III,2.0,0.0,2.0
Sri Lanka,102.0,44.0,146.0
St. Louis Amateur Athletic Association,12.0,0.0,12.0
St. Louis Southwest Turnverein #1-2,5.0,0.0,5.0
St. Louis Southwest Turnverein #2-3,5.0,0.0,5.0
St. Margrite,2.0,0.0,2.0
St. Rose-2,12.0,0.0,12.0
Stade Franais AC-2,2.0,0.0,2.0
Starita,2.0,0.0,2.0
Starlight III,2.0,0.0,2.0
State VI,3.0,0.0,3.0
Stella-2,3.0,0.0,3.0
Struten,3.0,0.0,3.0
Studenternes Roklub-2,5.0,0.0,5.0
Subbnboana,4.0,0.0,4.0
Sudan,97.0,10.0,107.0
Sunshine,2.0,0.0,2.0
Suriname,47.0,22.0,69.0
Surprise,3.0,0.0,3.0
Suzon IV-39,1.0,0.0,1.0
Suzon IV-5,2.0,0.0,2.0
Suzy-2,3.0,0.0,3.0
Swaziland,56.0,8.0,64.0
Sweden,4528.0,1293.0,5821.0
Sweden-1,23.0,5.0,28.0
Sweden-2,25.0,5.0,30.0
Sweden-3,6.0,2.0,8.0
Sweden-4,1.0,1.0,2.0
Swedish Star,2.0,0.0,2.0
Swift,2.0,0.0,2.0
Switzerland,3323.0,610.0,3933.0
Switzerland-1,8.0,2.0,10.0
Switzerland-2,8.0,2.0,10.0
Sydney Rowing Club,9.0,0.0,9.0
Sylvia,6.0,0.0,6.0
Symphony,2.0,0.0,2.0
Syndi,2.0,0.0,2.0
Syria,139.0,17.0,156.0
Taifun,7.0,0.0,7.0
Tajamar,2.0,0.0,2.0
Tajikistan,44.0,16.0,60.0
Tan-Fe-Pah,3.0,0.0,3.0
Tango,6.0,0.0,6.0
Tantalus,2.0,0.0,2.0
Tanzania,140.0,21.0,161.0
Tengiri,2.0,0.0,2.0
Teresita,3.0,0.0,3.0
Terrible,2.0,0.0,2.0
Thailand,514.0,212.0,726.0
Thailand-1,4.0,0.0,4.0
Thailand-2,4.0,0.0,4.0
Thalatta,3.0,0.0,3.0
Thames Rowing Club,5.0,0.0,5.0
The Cloud,2.0,0.0,2.0
Thessalonki-1,11.0,0.0,11.0
Three Leaves,2.0,0.0,2.0
Three Star Too,2.0,0.0,2.0
Tichiboo,2.0,0.0,2.0
Tilly,3.0,0.0,3.0
Tim-Tam III,3.0,0.0,3.0
Timor Leste,3.0,5.0,8.0
Tineke,2.0,0.0,2.0
Tip,3.0,0.0,3.0
Titia,5.0,0.0,5.0
Tlaloc,2.0,0.0,2.0
Togo,48.0,8.0,56.0
Tom Kyle,3.0,0.0,3.0
Tomahawk II,3.0,0.0,3.0
Tonga,35.0,10.0,45.0
Tornade-16,1.0,0.0,1.0
Tornado,5.0,0.0,5.0
Toronto Argonauts,27.0,0.0,27.0
Tournade-40,1.0,0.0,1.0
Tramontane,2.0,0.0,2.0
Trans-Mississippi Golf Association-2,10.0,0.0,10.0
Trickson VI,5.0,0.0,5.0
Trinidad and Tobago,286.0,80.0,366.0
Trintel II,3.0,0.0,3.0
Tritons Lillois-2,12.0,0.0,12.0
Tu-Fri,3.0,0.0,3.0
Tulilind,2.0,0.0,2.0
Tunisia,466.0,95.0,561.0
Turkey,945.0,230.0,1175.0
Turkmenistan,32.0,22.0,54.0
"Turnverein Vorwrts, Chicago",6.0,0.0,6.0
"Turnverein Vorwrts, Cleveland",6.0,0.0,6.0
Turquoise-1,1.0,0.0,1.0
Turquoise-3,2.0,0.0,2.0
Tutti V,5.0,0.0,5.0
Tuvalu,5.0,2.0,7.0
Twinkle,1.0,1.0,2.0
Twins II,5.0,0.0,5.0
Twins VIII,4.0,0.0,4.0
USFSA,13.0,0.0,13.0
Ubu,5.0,0.0,5.0
Uganda,218.0,42.0,260.0
Ukraine,1078.0,893.0,1971.0
Umberta V,2.0,0.0,2.0
Unified Team,405.0,241.0,646.0
Union des Socits Franais de Sports Athletiques,29.0,0.0,29.0
Unique,3.0,0.0,3.0
United Arab Emirates,137.0,7.0,144.0
United Arab Republic,123.0,0.0,123.0
United States,10357.0,4169.0,14526.0
United States Golf Association-3,10.0,0.0,10.0
United States Virgin Islands,194.0,45.0,239.0
United States-1,33.0,29.0,62.0
United States-10,2.0,0.0,2.0
United States-11,2.0,0.0,2.0
United States-12,2.0,0.0,2.0
United States-13,2.0,0.0,2.0
United States-14,2.0,0.0,2.0
United States-2,33.0,29.0,62.0
United States-3,6.0,2.0,8.0
United States-4,2.0,0.0,2.0
United States-5,2.0,0.0,2.0
United States-6,2.0,0.0,2.0
United States-7,2.0,0.0,2.0
United States-8,2.0,0.0,2.0
United States-9,2.0,0.0,2.0
United States/France,2.0,0.0,2.0
United States/Great Britain,3.0,1.0,4.0
Univ. of Brussels,11.0,0.0,11.0
Unknown,2.0,0.0,2.0
Upton Park FC,11.0,0.0,11.0
Uragan,2.0,0.0,2.0
Uruguay,507.0,62.0,569.0
Uzbekistan,329.0,135.0,464.0
Vanuatu,23.0,12.0,35.0
Vaxholm Roddklubb,5.0,0.0,5.0
Venezuela,695.0,219.0,914.0
Venilia,3.0,0.0,3.0
Vento Sul,2.0,0.0,2.0
Verveine-19,1.0,0.0,1.0
Verveine-41,1.0,0.0,1.0
Vesania,2.0,0.0,2.0
Vesper Boat Club,18.0,0.0,18.0
Vicking,2.0,0.0,2.0
Vietnam,80.0,74.0,154.0
Viking,3.0,0.0,3.0
Viktoriya,3.0,0.0,3.0
Vim III,2.0,0.0,2.0
Vinga-1,5.0,0.0,5.0
Vinha,6.0,0.0,6.0
Virginie,3.0,0.0,3.0
Vision,4.0,0.0,4.0
Voloira II,3.0,0.0,3.0
Wales-4,11.0,0.0,11.0
Wannsee,2.0,0.0,2.0
Web II,3.0,0.0,3.0
Web III,3.0,0.0,3.0
Wendehals,2.0,0.0,2.0
West Germany,1824.0,724.0,2548.0
West Germany-1,4.0,0.0,4.0
West Germany-2,4.0,0.0,4.0
West Germany-3,2.0,0.0,2.0
West Indies Federation,18.0,0.0,18.0
Western Golf Association-1,10.0,0.0,10.0
Western Rowing Club-3,6.0,0.0,6.0
Whirlaway,2.0,0.0,2.0
Whisper,1.0,0.0,1.0
White Lady,3.0,0.0,3.0
Whitini Star,1.0,0.0,1.0
Widgeon,2.0,0.0,2.0
Wiking,5.0,0.0,5.0
Willem-Six,3.0,0.0,3.0
Windor,2.0,0.0,2.0
Winnipeg Shamrocks-1,12.0,0.0,12.0
Wolseley-Siddeley-1,4.0,0.0,4.0
Xantippa,3.0,0.0,3.0
Xolotl,3.0,0.0,3.0
Yangon,2.0,0.0,2.0
Yemen,28.0,4.0,32.0
Yeoman,4.0,0.0,4.0
Yeoman V,3.0,0.0,3.0
Yeoman VII,3.0,0.0,3.0
Yeoman XII,3.0,0.0,3.0
Ylliam II,5.0,0.0,5.0
Ylliam VII,6.0,0.0,6.0
Ylliam VIII,5.0,0.0,5.0
Yugoslavia,1740.0,297.0,2037.0
Yugoslavia-1,2.0,0.0,2.0
Yugoslavia-2,2.0,0.0,2.0
Zambia,164.0,19.0,183.0
Zefyros,2.0,0.0,2.0
Zimbabwe,194.0,113.0,307.0
Zut,3.0,0.0,3.0
rn-2,5.0,0.0,5.0
Australia-3,0.0,2.0,2.0
Belarus-1,0.0,2.0,2.0
Belarus-2,0.0,2.0,2.0
Bonaparte,0.0,1.0,1.0
Brentina,0.0,1.0,1.0
Bulgaria-1,0.0,2.0,2.0
Bulgaria-2,0.0,2.0,2.0
Calimucho,0.0,1.0,1.0
China-3,0.0,2.0,2.0
Clearwater,0.0,1.0,1.0
Cuba-1,0.0,2.0,2.0
Cuba-2,0.0,2.0,2.0
Digby,0.0,1.0,1.0
Dow Jones,0.0,1.0,1.0
Elvis Va,0.0,1.0,1.0
Gran Gesto,0.0,1.0,1.0
Japan-3,0.0,2.0,2.0
Lancet,0.0,1.0,1.0
Mistral Hojris,0.0,1.0,1.0
Mythilus,0.0,1.0,1.0
Orion,0.0,1.0,1.0
Pop Art,0.0,1.0,1.0
Quando Quando,0.0,1.0,1.0
Rambo,0.0,1.0,1.0
Relampago,0.0,1.0,1.0
Romania-1,0.0,4.0,4.0
Romania-2,0.0,4.0,4.0
Salinero,0.0,1.0,1.0
Satchmo,0.0,1.0,1.0
Slovenia-1,0.0,2.0,2.0
Slovenia-2,0.0,2.0,2.0
Solos Carex,0.0,1.0,1.0
Sunrise,0.0,1.0,1.0
Ukraine-1,0.0,4.0,4.0
Ukraine-2,0.0,4.0,4.0
Unified Team-1,0.0,2.0,2.0
Unified Team-2,0.0,2.0,2.0
